customer_id,name_hash,account_open_date,segment,country,occupation,risk_rating_existing,kyc_flags
1000,hash_a9b7ba,2011-12-15,retail,GB,lawyer,low,
1001,hash_b8c37e,2015-11-28,retail,FR,self_employed,medium,
1002,hash_fba9d8,2017-11-09,retail,DE,student,low,
1003,hash_aa68c7,2013-11-23,corporate,DE,lawyer,medium,
1004,hash_fed333,2013-11-21,corporate,US,consultant,medium,
1005,hash_238733,2011-05-10,retail,US,business_owner,medium,
1006,hash_924644,2011-10-01,corporate,SG,lawyer,low,
1007,hash_d7322e,2022-05-25,corporate,GB,lawyer,low,
1008,hash_158796,2013-03-11,retail,US,government_employee,low,
1009,hash_31b3b3,2015-04-28,retail,US,engineer,low,
1010,hash_1e48c4,2012-12-07,retail,US,ceo,medium,
1011,hash_7f975a,2018-11-21,retail,NL,self_employed,high,
1012,hash_f33ba1,2013-01-27,corporate,GB,lawyer,low,
1013,hash_6b1800,2021-04-09,retail,US,student,medium,
1014,hash_766d85,2022-04-08,retail,CA,self_employed,low,
1015,hash_298923,2016-06-04,retail,GB,government_employee,low,
1016,hash_08fe26,2020-06-16,retail,FR,freelancer,low,
1017,hash_5d616d,2017-02-18,retail,GB,doctor,low,
1018,hash_ef50c3,2012-03-28,retail,US,government_employee,low,
1019,hash_03e070,2023-12-12,retail,GB,self_employed,low,
1020,hash_65cc2c,2019-07-11,retail,AE,student,high,pep
1021,hash_076828,2014-10-06,retail,GB,government_employee,low,
1022,hash_93d656,2023-08-10,retail,US,freelancer,low,
1023,hash_ce5140,2021-10-13,corporate,US,consultant,low,
1024,hash_021bbc,2017-07-20,retail,GB,doctor,low,
1025,hash_82b8a3,2010-04-10,corporate,US,trader,low,
1026,hash_24146d,2010-10-24,corporate,AE,business_owner,medium,
1027,hash_883e88,2023-09-10,corporate,US,ceo,high,
1028,hash_380673,2013-09-17,corporate,DE,business_owner,low,
1029,hash_84d200,2019-12-25,corporate,US,business_owner,low,
1030,hash_e515df,2016-04-27,retail,GB,trader,low,
1031,hash_afdec7,2013-03-22,retail,US,trader,low,
1032,hash_995e1f,2010-12-11,retail,NL,lawyer,low,
1033,hash_e17184,2019-05-14,retail,DE,freelancer,low,
1034,hash_bdb106,2018-01-25,retail,CA,self_employed,low,
1035,hash_a34bac,2011-05-11,retail,DE,engineer,low,
1036,hash_83fa5a,2019-06-05,retail,DE,student,low,
1037,hash_eddb90,2013-06-25,corporate,DE,ceo,low,
1038,hash_6d70cb,2016-06-23,retail,DE,freelancer,low,
1039,hash_27ed0f,2010-09-16,corporate,SG,ceo,low,
1040,hash_537d9b,2015-09-09,corporate,AU,business_owner,medium,
1041,hash_d736bb,2015-04-22,retail,CA,doctor,medium,
1042,hash_9ac403,2015-12-03,corporate,SG,consultant,low,
1043,hash_b9141a,2012-08-28,corporate,FR,business_owner,high,pep
1044,hash_1019c8,2010-09-14,corporate,FR,ceo,low,
1045,hash_a0e2a2,2023-06-14,retail,FR,student,high,pep
1046,hash_157977,2011-09-05,corporate,US,trader,low,
1047,hash_20b5e1,2015-11-14,corporate,FR,ceo,low,
1048,hash_7cce53,2019-05-18,retail,CA,lawyer,low,
1049,hash_58c548,2014-03-14,retail,US,government_employee,low,
1050,hash_5055cb,2018-09-11,retail,US,consultant,medium,
1051,hash_456ac9,2013-09-17,retail,FR,trader,low,
1052,hash_f4dd76,2012-03-17,corporate,AE,consultant,medium,
1053,hash_7fec30,2010-02-09,corporate,FR,lawyer,medium,
1054,hash_db576a,2011-08-14,corporate,NL,consultant,low,
1055,hash_53c041,2012-12-12,retail,GB,self_employed,low,
1056,hash_4ca827,2016-11-02,retail,AE,trader,low,
1057,hash_d8700c,2010-08-14,corporate,US,consultant,medium,
1058,hash_b4d168,2020-05-17,retail,AU,doctor,low,
1059,hash_4a0814,2023-03-26,retail,US,engineer,low,
1060,hash_299a23,2018-02-26,retail,US,ceo,low,
1061,hash_a89cf5,2022-08-02,retail,GB,student,low,
1062,hash_cd89fe,2022-05-18,retail,US,trader,low,
1063,hash_6c340f,2022-02-07,retail,US,lawyer,low,
1064,hash_2290a7,2020-04-24,corporate,AE,business_owner,medium,
1065,hash_a2137a,2013-09-26,retail,SG,lawyer,high,
1066,hash_43dd49,2012-10-17,retail,AE,lawyer,medium,
1067,hash_31857b,2010-05-01,corporate,SG,business_owner,low,
1068,hash_53adaf,2014-12-01,retail,AE,freelancer,low,
1069,hash_fc2c7c,2023-02-24,retail,AE,ceo,low,
